title;price;condition;location;link
Խաղային Palit GeForce GTX 1060 DUAL 3GB GDDR5 3xDP + HDMI + DVI Video Graphics Card տեսաքարտ видеокарта GTX1060;45,000֏;Использованное;Арабкир;https://www.list.am/ru/item/23474149?ld_src=2
Videocard Видеокарта Տեսաքարտ EVGA GTX 550 Ti (խնդիր ունի);6,000֏;Использованное;Малатия-Себастия;https://www.list.am/ru/item/23660621?ld_src=2
Տեսաքարտ, Видеокарта Palit RTX 5050 Dual 8GB, Երաշխիք;159,900֏;Новое;Эребуни;https://www.list.am/ru/item/23304140?ld_src=2
Msi geforce gtx 980 gaming 4gb;47,000֏;Использованное;Канакер-Зейтун;https://www.list.am/ru/item/22797558?ld_src=2
Msi rtx 4070 ti super super ventus 2x oc 16gb գերհզոր վիդեոքարտ, որը քաղաքում մեկն է shopline.am;380,000֏;Новое;Арабкир;https://www.list.am/ru/item/23707250?ld_src=2
Nvidia Quadro M2000 / 4Gb RAM GDDR5 / 128bit memory / Professional video graphics card;29,900֏;Использованное;Ачапняк;https://www.list.am/ru/item/23456072?ld_src=2
Nvidia Quadro P2000 / RAM 5Gb DDR5 / 160bit memory / Professional video graphics card;44,900֏;Использованное;Ачапняк;https://www.list.am/ru/item/23437787?ld_src=2
ASUS GeForce RTX 3080 TUF Gaming OC Edition/ 10GB / 320 bit / GDDR6X /;200,000֏;Использованное;Ачапняк;https://www.list.am/ru/item/22609086?ld_src=2
Հզոր Տեսաքարտ, Видеокарта Zotac GeForce RTX 5070 12GB, Երաշխիք;349,900֏;Новое;Эребуни;https://www.list.am/ru/item/22356436?ld_src=2
AMD RADEON RX 550 4GB GDDR5 128-bit DVI/HDMI/DP (Օգտագործվել է մեկ ամիս Գտնվում է երաշխիքի մեջ);25,000֏;Использованное;Шенгавит;https://www.list.am/ru/item/23697110?ld_src=2
EVGA RTX 3090 ftw3 ultra;425,000֏;Малатия-Себастия;Малатия-Себастия;https://www.list.am/ru/item/24242107?ld_src=2
MSI GeForce RTX5070Ti 16G GAMING TRIO OC / GDDR7 / 16GB / Gaming Video Card / Видеокарта;479,000֏;Кентрон;Кентрон;https://www.list.am/ru/item/24236778?ld_src=2
Thermal kingdom gtx 550 ti n550-2sdn-d5gx;12,000֏;Использованное;Шенгавит;https://www.list.am/ru/item/23534786?ld_src=2
NVIDIA RTX A3000 Mobile 6GB для HP ZBook Fury 15 G8 HP ZBook Fury 17 G8;45,000֏;Использованное;Кентрон;https://www.list.am/ru/item/24221776?ld_src=2
EVGA GeForce RTX 3080 XC3 ULTRA վիդեոկարտա / видеокарта;180,000֏;Использованное;Давташен;https://www.list.am/ru/item/22404722?ld_src=2
Տեսաքարտ PNY NVIDIA T400 4Gb 3xmini display port;26,000֏;Использованное;Арабкир;https://www.list.am/ru/item/23182753?ld_src=2
RTX 3070 OC = Золотая середина мощных игровых видеокарт;120,000֏;Использованное;Аван;https://www.list.am/ru/item/22429092?ld_src=2
Asus gtx 1050 2gb;22,000֏;Использованное;Эребуни;https://www.list.am/ru/item/23334595?ld_src=2
Videocart Xfx speedstar swft319 radeon rx6900xt;130,000֏;Использованное;Кентрон;https://www.list.am/ru/item/23088244?ld_src=2
Sapphire R9 290 TriX;30,000֏;Использованное;Ачапняк;https://www.list.am/ru/item/23715090?ld_src=2
XFX RX 580 8Gb GTS XXX Dual Bios switch;40,000֏;Использованное;Ачапняк;https://www.list.am/ru/item/23715086?ld_src=2
Վիդեոքարտ Asus RX 470 4Gb;37,000֏;Использованное;Арабкир;https://www.list.am/ru/item/22022852?ld_src=2
Palit gtx 1660 super խաղային վիդեոքարտ;60,000֏;Использованное;Эребуни;https://www.list.am/ru/item/21921474?ld_src=2
Galaxy Gtx 650 TI boost 192bit 2gb;17,000֏;Использованное;Эребуни;https://www.list.am/ru/item/23978396?ld_src=2
Rtx5070asus tuf oc edition;390,000֏;Новое;Нор Норк;https://www.list.am/ru/item/23653287?ld_src=2
RTX 5070 MSI 12GB;295,000֏;Использованное;Малатия-Себастия;https://www.list.am/ru/item/24215310?ld_src=2
Gtx1070 asus 8gb;45,000֏;Использованное;Эребуни;https://www.list.am/ru/item/23458536?ld_src=2
Видеокарта 32mb որպես պահեստամաս;4,000֏;Использованное;Давташен;https://www.list.am/ru/item/21642062?ld_src=2
RTX T400 4gb, DDR6 в идеальном состоянии;23,000֏;Использованное;Кентрон;https://www.list.am/ru/item/24121546?ld_src=2
MSI Gt 1030 Gddr5 անթերի վիճակում;18,000֏;Использованное;Кентрон;https://www.list.am/ru/item/22447842?ld_src=2
Nvidia GTX 780 Evga;19,000֏;Использованное;Кентрон;https://www.list.am/ru/item/24208842?ld_src=2
Zotac geforce gtx 770 2gb;45,000֏;Использованное;Гюмри;https://www.list.am/ru/item/23820376?ld_src=2
ASUS AMD Radeon RX 9060 XT Prime Overclocked Triple Fan 16GB GDDR6 PCIe 5.0;235,000֏;Новое;Арабкир;https://www.list.am/ru/item/23582991?ld_src=2
MSI Ventus 3x Geforce RTX 3060 TI 8GB Graphics Card 256Bit;130,000֏;Новое;Аван;https://www.list.am/ru/item/18476004?ld_src=2
ASUS CMP 40HX 8GB~ (Rtx 2060 Super);38,000֏;Использованное;Ванадзор;https://www.list.am/ru/item/24222682?ld_src=2
Վիդեո քարտ ASUS 1GB;12,000֏;Использованное;Канакер-Зейтун;https://www.list.am/ru/item/22932688?ld_src=2
Msi gaming x trio rtx 3070 ti;120,000֏;Использованное;Нор Норк;https://www.list.am/ru/item/24213201?ld_src=2
Evga Geforce Gtx1060 6Gb;38,000֏;Использованное;Шенгавит;https://www.list.am/ru/item/23369983?ld_src=2
Asus Gtx1070 8 gb rog strix;40,000֏;Использованное;Арабкир;https://www.list.am/ru/item/23930565?ld_src=2
Տեսաքարտ Msi RTX5060 8GB նոր վիդեոքարտ videocard;145,000֏;Новое;Арабкир;https://www.list.am/ru/item/23933405?ld_src=2
Palit Видеокарта Dual GTX 1660 6Gb GTX1660 Լիովին Նոր Video Card VideoCard Տեսաքարտ GDDR5 HDMI DVI;85,000֏;Новое;Кентрон;https://www.list.am/ru/item/20473685?ld_src=2
ASUS RTX 5070 TUF GAMING video card 12GB dlss4.5 վիդեո քարդ;415,000֏;Новое;Нор Норк;https://www.list.am/ru/item/23417845?ld_src=2
Asus RTX 5070 ti tuf gaming 16gb video card dlss4.5, 5070 ti;580,000֏;Новое;Нор Норк;https://www.list.am/ru/item/23311424?ld_src=2
Sapphire NITRO + RX 580 4G;22,000֏;Использованное;Аван;https://www.list.am/ru/item/24205944?ld_src=2
Видеокарта GALAX 2070 super;75,000֏;Использованное;Аван;https://www.list.am/ru/item/24062123?ld_src=2
Videocard SXG210 1gb;9,000֏;Использованное;Гюмри;https://www.list.am/ru/item/23904071?ld_src=2
Saphire nitro + RX 6700 XT, 12gb, RX6700XT, rx 6700 xt, AMD 6700 xt, AMD 12GB;105,000֏;Использованное;Канакер-Зейтун;https://www.list.am/ru/item/23556043?ld_src=2
Asus gtx 1070 8g;45,000֏;Использованное;Арабкир;https://www.list.am/ru/item/20259429?ld_src=2
XFX Speedster SWFT 319 RX 6900 XT 16GB;150,000֏;Использованное;Эчмиадзин;https://www.list.am/ru/item/24253317?ld_src=2
Տեսաքարտ GPU ASUS ROG Astral GeForce RTX 5080 16GB GDDR7 DLSS 4 պրեմիում դասի Գրաֆիկական քարտ;855,000֏;Новое;Гюмри;https://www.list.am/ru/item/23965426?ld_src=2
Asus nVidia GeForce 8500GT 512MB DVI VGA (ID: 45);4,000֏;Использованное;Кентрон;https://www.list.am/ru/item/23500648?ld_src=2
AMD HD6750 ddr3 pciEգտնվում է լավ վիճակում;8,000֏;Использованное;Канакер-Зейтун;https://www.list.am/ru/item/22728668?ld_src=2
Видеокарта GeForce GT630 2ГБ GDDR3 64bit DVI VGA HDMI;8,000֏;Использованное;Кентрон;https://www.list.am/ru/item/24142200?ld_src=2
NVIDIA T400 4GB GDDR6 VCNT-400 GPU/տեսաքարտ/видеокарта;30,000֏;Новое;Кентрон;https://www.list.am/ru/item/23614606?ld_src=2
Asus GeForce Gtx 1660 ti;40,000֏;Использованное;Абовян;https://www.list.am/ru/item/23923525?ld_src=2
